YEAR,DATE,,EVENT,TYPE,OPP,VENUE,CITY,COUNTRY,NZ.SCORE,OPP.SCORE,COACH,CAPTAIN
2014,Oct 28,,Taini Jamison Trophy,Test 1,ENG,Energy Events Centre,Rotorua,NZL,38,42,W. Taumaunu,L. Langman*
2014,Oct 15,,Constellation Cup,Test 4,AUS,Trusts Stadium,Auckland,NZL,47,51,W. Taumaunu,C. Kopua
2014,Oct 11,,Constellation Cup,Test 3,AUS,Allphones Arena,Sydney,AUS,34,47,W. Taumaunu,C. Kopua
2014,Oct 8,,Constellation Cup,Test 2,AUS,Hisense Arena,Melbourne,AUS,40,49,W. Taumaunu,C. Kopua
2014,Oct 2,,Constellation Cup,Test 1,AUS,Stadium Southland,Invercargill,NZL,42,59,W. Taumaunu,C. Kopua
2014,Aug 3,,Commonwealth Games,Final,AUS,SSE Hydro,Glasgow,SCO,40,58,W. Taumaunu,C. Kopua
2014,Aug 2,,Commonwealth Games,SF,ENG,SECC Arena,Glasgow,SCO,35,34,W. Taumaunu,C. Kopua
2014,Jul 30,,Commonwealth Games,Pool,JAM,SECC Arena,Glasgow,SCO,50,42,W. Taumaunu,C. Kopua
2014,Jul 29,,Commonwealth Games,Pool,LCA,SECC Arena,Glasgow,SCO,88,19,W. Taumaunu,C. Kopua
2014,Jul 27,,Commonwealth Games,Pool,NIR,SECC Arena,Glasgow,SCO,78,29,W. Taumaunu,C. Kopua
2014,Jul 26,,Commonwealth Games,Pool,SCO,SECC Arena,Glasgow,SCO,71,14,W. Taumaunu,C. Kopua
2014,Jul 25,,Commonwealth Games,Pool,MAW,SECC Arena,Glasgow,SCO,50,47,W. Taumaunu,C. Kopua
